,city,state,salary_lower,salary_upper,preferred_skill,need_for_position,job_id,post_date
76,Miami,FL,90000,150000,"ASP.NET, MVC, Angular, .NET, C#, Docker, C, C++, JavaScript","- AWS Cloud experience  - .NET, Angular 
- angular 
- C#, C, C++ experience  
- JavaScript",DB13-1653562,10/22/2021
77,Los Angeles,CA,90000,150000,"ASP.NET, MVC, Angular, .NET, C#, Docker, C, C++, JavaScript","- AWS Cloud experience  - .NET, Angular 
- angular 
- C#, C, C++ experience  
- JavaScript",DB13-1653563,10/22/2021
78,Seattle,WA,90000,150000,"ASP.NET, MVC, Angular, .NET, C#, Docker, C, C++, JavaScript","- AWS Cloud experience  - .NET, Angular 
- angular 
- C#, C, C++ experience  
- JavaScript",DB13-1653564,10/22/2021
79,Portland,OR,90000,150000,"ASP.NET, MVC, Angular, .NET, C#, Docker, C, C++, JavaScript","- AWS Cloud experience  - .NET, Angular 
- angular 
- C#, C, C++ experience  
- JavaScript",DB13-1653565,10/22/2021
80,Lehi,UT,130000,150000,"MS Visual Studio, SQL Server, .NET, C#, ASP.NET, MVC, HTML, Azure, CSS, JS","- 5+ years of related experience in web and software development using C# and ASP.NET. - Hands on development experience in developing REST APIs. 
- MS Visual Studio 
- SQL Server 
- .NET 
- C# 
- ASP.NET 
- MVC 
- HTML 
- Azure 
- CSS 
- JS",AH15-1674411,02/11/2022
81,Lehi,UT,130000,150000,"MS Visual Studio, SQL Server, .NET, C#, ASP.NET, MVC, HTML, Azure, CSS, JS","- 5+ years of related experience in web and software development using C# and ASP.NET. - Hands on development experience in developing REST APIs. 
- MS Visual Studio 
- SQL Server 
- .NET 
- C# 
- ASP.NET 
- MVC 
- HTML 
- Azure 
- CSS 
- JS",AH15-1674415,02/11/2022
82,Washington,DC,70000,110000,"C#, .NET, Visual Studio, REACT, Angular, SQL","- Excellent understanding of C# and .NET Framework - Must have experience working with Visual Studio and IIS 
- Working knowledge of development technologies including WCF, WPF, and Silverlight 
- Knowledge of relational database and Structured Query Language (SQL) 
- Object Oriented Design and familiarity with design patterns is a plus 
- HTML5, CSS3 and React\Angular a plus",JG9-1674600,02/11/2022
83,Phoenix,AZ,85000,130000,"Asp, Classic ASP, MySQL, JavaScript, VBScript, HTML5, CSS3, JQuery, XML, PHP","At least 2-5 years experience with - ASP 
- Classic ASP 
- MySQL 
- JavaScript 
- VBScript 
- HTML5 
- CSS3 
- JQuery 
- XML 
- PHP",AH15-1667605,01/21/2022
84,Saint Paul,MN,90000,100000,"C#, SQL, JavaScript, .NET/.NET CORE/Web API, ReactJS/AngularJS/VueJS or similar, Database Design: SQL/NoSQL/Entity/LINK to SQL, Azure/Serverless Functions, Microservices/Containerization, User-Facing UI/RESTful APIs/Modern Frontend, REST Services/Messaging","- BS Degree - C#, SQL, JavaScript 
- .NET, .NET CORE and/or Web APIs 
- Modern UI - React/Angular/Vue, etc.  
- Database Design: SQL/NoSQL/Entity/LINK, etc.  
- Azure/Azure Functions, Microservices, Containerization 
- REST/RESTful 
- Authorization/Authentication, Data Streaming, Messaging, RabbitMQ/Kafka, etc",TS2-1674083,02/09/2022
85,Nashville,TN,95000,150000,"Python, C++, C#, RTOS",""" Bachelor's Degree in Electrical Engineering, Computer Engineering, Computer Science, or equivalent in experience and proven track record. 
"" 3+ years experience with Embedded/Hardware systems development and implementation 
"" Solid background in embedded firmware systems and developing in C++, C#, Python. 
"" Experience developing in an RTOS environment 
"" Experience in interfacing power conversion equipment 
"" Capability of delivering high-quality code in an embedded environment",DG9-1667696,01/03/2022
86,Dallas,TX,140000,160000,"dev ops, CI/CD, Kubernetes, Docker, Jenkins, Terraform, Ansible, Bash, Python","At least 3+ years experience with:  - HTML5 
- CSS3   
- PHP 
- Python 
- HTML5  
- JavaScript 
- Linux 
- AWS 
- MySQL",NI1-1674134,02/09/2022
87,Katy,TX,70000,100000,"C/C++, Data Analytics, Strong Math and Analytical Skills, Software Design/Controls Design, .NET, Python, IPv4/IPv6 Networking, Azure and/or AWS, IoT/Field Device Management, Network/CyberSecurity Standards","Qualifications: - BS Degree in CS or similar 
- 1-3+ years of hands-on development in C/C++ 
- Strong understanding of data analytics 
- Strong math and analytical mindset 
- Customer-facing skills or interest in dealing with customers 
- Willing to jump in on different engineering tasks 
- Willing to be onsite 3-4 days a week 
 
BONUS/Nice to have 
- .NET and/or Python 
- IPv4/IPv6 Networking  
- Azure and/or AWS 
- IoT/Field Device Management 
- Network/CyberSecurity Protocols, Standards, and best-practices 
- Managing servers on the cloud",TS2-1667160,01/15/2022
88,New York,NY,110000,150000,"Shopify, ECommerce, HTML, CSS, Vue.js, Tailwind, Webpack, JavaScript, APIs, graphql","At least 2 years experience with the following.. 
- JavaScript 
- Shopify 
- ECommerce 
- SaaS 
- HTML 
- CSS 
- Vue.js 
- Tailwind 
- Webpack 
- APIs 
- GraphQL 
- Git 
- Nuxt.js experience & previous agency experience is a plus!!",KP9-1672469,01/31/2022
89,Miami,FL,55000,160000,"dev ops, CI/CD, Kubernetes, Docker, Jenkins, Terraform, Ansible, Bash, Python","At least 3+ years experience with:  - HTML5 
- CSS3   
- PHP 
- Python 
- Ruby 
- .NET 
- JavaScript 
- Linux 
- AWS 
- MySQL 
- UI  
 - Ansible 
- chef 
- puppet 
-  Docker 
- Vagrant 
- Nagios 
- Jenkins 
- Shell 
- Perl",NI1-1668322,01/05/2022
90,Gardena,CA • Chicago,120000,140000,"React.JS, Next.js, Node.js, graphql, AWS, API, Shopify, ECommerce, Kubernetes, Python","3+ Years of Experience With: 
Required: 
 
- React.JS 
 
- Node.js 
 
- GraphQL 
 
- AWS 
 
- API's 
 
-Data Driven Applications 
 
 
 
 
Desired: 
 
- ECommerce Tools (Shopify preferred) 
 
- Kubernetes 
 
- Python 
 
- Customer Facing Applications 
 
 
 
 
*Currently this position is 100% remote, but post Covid the position will be a Hybrid position (50% Remote / 50% On Site in LA or Chicago)",ET3-1668342,01/25/2022
91,New York,NY,100000,200000,"AWS, Python, Java, Biotech, Bioinformatics, LIMS","- AWS - Python 
- Java 
- Biotech/ Bioinformatics (Experience in Laboratory setting a plus)",JJ9-1668974,01/10/2022
92,San Mateo,CA,120000,180000,"C#, AWS, .NET, Azure, Docker, Linux, SQL, MySQL, Multi-Threading","- 2-5 years of experience - C# 
- AWS 
- .NET 
- Azure 
- Docker 
- Linux 
- SQL 
- MySQL",CC18-1648197,10/08/2021
93,New Windsor,NY,75000,100000,"Software Development, Data Structures, Algorithms, Java, C++, Python, Unit Testing (Junit), SQL Server","Experience with: - Programming with Java, C++, or Python 
- Enterprise Software Environments 
- Data Structures and Algorithms",MY1-1669016,01/27/2022
94,Tampa,FL,90000,130000,"C#, Visual Basic, .NET, SQL, Python, Angular, JavaScript, CSS, REACT","- C# - Visual Basic 
- .NET 
- SQL 
- Python 
- Angular 
- JavaScript 
- CSS 
- REACT",AH15-1669050,01/21/2022
95,Olympia,WA,75000,110000,"Software, C#, Agile, .NET, SCRUM, applications, Azure, Jenkins",""" C# . NET, Agile and Scrum  ""  Experience with continuous integration, build processes and deployment tools like Azure DevOps, Jenkins, Teamcity, Octopus Deploy, docker/containers, etc. 
	"" Familiar with SQL Server Reporting Services (SSRS) 
Experience with Windows Communication Foundation (WCF) or gRPC is a plus",DZ2-1669057,01/10/2022
96,Oviedo,FL,65000,100000,"Simulation, Unity, C++, Unreal, OFT, WST","- Simulation - Unity 
- C++ 
- Unreal 
- OFT 
- WST",KE2-1648006,01/31/2022
97,Cedar Park,TX,100000,150000,".NET, .NET Core, SDLC, Azure, C#, AWS, orleans, SQL, Microsoft","4+ years of Software Development experience.  
Must have experience with Microsoft Orleans. 
 
You should know most of the following: 
 
- .NET 
- SDLC 
- Azure 
- C#, SQL",RR7-1668599,01/10/2022
98,Mesa,AZ,85000,130000,"Asp, Classic ASP, MySQL, JavaScript, VBScript, HTML5, CSS3, JQuery, XML, PHP","At least 2-5 years experience with - ASP 
- Classic ASP 
- MySQL 
- JavaScript 
- VBScript 
- HTML5 
- CSS3 
- JQuery 
- XML 
- PHP",AH15-1668637,01/07/2022
99,Glendale,AZ,85000,130000,"Asp, Classic ASP, MySQL, JavaScript, VBScript, HTML5, CSS3, JQuery, XML, PHP","At least 2-5 years experience with - ASP 
- Classic ASP 
- MySQL 
- JavaScript 
- VBScript 
- HTML5 
- CSS3 
- JQuery 
- XML 
- PHP",AH15-1668638,01/07/2022
100,Tucson,AZ,85000,130000,"Asp, Classic ASP, MySQL, JavaScript, VBScript, HTML5, CSS3, JQuery, XML, PHP","At least 2-5 years experience with - ASP 
- Classic ASP 
- MySQL 
- JavaScript 
- VBScript 
- HTML5 
- CSS3 
- JQuery 
- XML 
- PHP",AH15-1668639,01/07/2022
101,Redwood City,CA • Chicago,130000,150000,"Java, OOP, SaaS, NoSQL, SOA","At Least 3 Years Experience:  - Java 
- OOP 
- SaaS 
- NoSQL 
- SOA",AD10-1668774,02/07/2022
102,Dallas,TX,95000,120000,"Python, C++, C#, RTOS",""" Bachelor's Degree in Electrical Engineering, Computer Engineering, Computer Science, or equivalent in experience and proven track record. 
"" 3+ years experience with Embedded/Hardware systems development and implementation 
"" Solid background in embedded firmware systems and developing in C++, C#, Python. 
"" Experience developing in an RTOS environment 
"" Experience in interfacing power conversion equipment 
"" Capability of delivering high-quality code in an embedded environment",DG9-1668798,01/07/2022
103,Houston,TX,95000,120000,"Python, C++, C#, RTOS",""" Bachelor's Degree in Electrical Engineering, Computer Engineering, Computer Science, or equivalent in experience and proven track record. 
"" 3+ years experience with Embedded/Hardware systems development and implementation 
"" Solid background in embedded firmware systems and developing in C++, C#, Python. 
"" Experience developing in an RTOS environment 
"" Experience in interfacing power conversion equipment 
"" Capability of delivering high-quality code in an embedded environment",DG9-1668800,01/07/2022
104,Charlotte,NC,95000,120000,"Python, C++, C#, RTOS",""" Bachelor's Degree in Electrical Engineering, Computer Engineering, Computer Science, or equivalent in experience and proven track record. 
"" 3+ years experience with Embedded/Hardware systems development and implementation 
"" Solid background in embedded firmware systems and developing in C++, C#, Python. 
"" Experience developing in an RTOS environment 
"" Experience in interfacing power conversion equipment 
"" Capability of delivering high-quality code in an embedded environment",DG9-1668801,01/07/2022
105,New Orleans,LA,95000,120000,"Python, C++, C#, RTOS",""" Bachelor's Degree in Electrical Engineering, Computer Engineering, Computer Science, or equivalent in experience and proven track record. 
"" 3+ years experience with Embedded/Hardware systems development and implementation 
"" Solid background in embedded firmware systems and developing in C++, C#, Python. 
"" Experience developing in an RTOS environment 
"" Experience in interfacing power conversion equipment 
"" Capability of delivering high-quality code in an embedded environment",DG9-1668802,01/07/2022
106,Huntsville,AL,140000,160000,"C#, ASP.NET, PHP, MySQL, JavaScript, JQuery, C++","- C# - ASP.NET 
- PHP 
- MySQL 
- JavaScript 
- JQuery 
- C++ 
-Travel: 10% 
-Must be a U.S. Citizen",AH15-1668874,01/08/2022
107,Austin,TX • Denver,120000,180000,"Python, Node.js, Golang, AWS","Python development AWS Tools 
Helping us build the next generation of mobile apps & frameworks for our innovative wearables & service",EO1-1672775,02/09/2022
108,Trenton,NJ,75000,150000,"2D, 3D, Graphics, C++, visualization, OpenGL, .NET, Medical Imaging, Human Anatomy, WebGL","You should have at least 2+ years of experience and knowledge of:  
- 2D/3D graphics 
- C++ 
- visualization development 
- OpenGL/WebGL 
- .NET 
 
Nice to have: 
- Medical Imaging experience 
- Human Anatomy knowledge",IH1-1672664,02/14/2022
109,Raleigh,NC,110000,150000,"C#, Java, AWS, .NET, SQL Server, Payments, CI/CD, GIT","-3-5 years experience overall as a software engineer. -Advanced level understanding of C# and Java. 
-.NET framework experience strongly desired. 
-Experience working with AWS and/or Azure essential; certifications an advantage. 
-Experience in digital payments industry vertical an advantage, but not required.",SH7-1669529,01/12/2022
110,San Francisco,CA,120000,170000,"Spring Boot, AWS, REACT, NODE, CSS, graphql, Rest, Java, HTML, GCP","5+ Years Software Engineer Experience 
- Java 
- RESTful services 
- Spring Boot 
- AWS or GCP 
- React",KD5-1669858,02/07/2022
111,Detroit,MI • Indianapolis,90000,100000,"GIT, CI/CD, Automated Testing, Linux/UNIX, Shell scripts, Command Line, Kubernetes, Terraform, Devops, Agile","-2+ years professional software development experience - Proficiency in range of AWS tools (EKS, AMI, RDS, Cloud Watch, IAM, S3, R53) 
- GIT 
- CI/CD pipelines, Automated Testing 
- Professional release management practices 
- Linux/UNIX 
- Shell scripts, Command Line 
- Kubernetes 
- Cloud Languages / tools (Golang, Terraform, Helm, Kustomize) 
- Devops environment 
- Agile/Scrum methodology 
Note* qualified applicants are required to complete a 30 min online assessment as part of the interview process.",SC7-1673334,02/10/2022
112,Owings Mills,MD,80000,140000,"JavaScript, NODE, REACT, Express, FastiFy, sequelize, SaaS, Mobile, WCAG, OWASP","- 3+ years of experience  - JavaScript 
- NODE 
- REACT 
- eXpress 
- FastiFy 
- sequelize 
- SaaS 
- Mobile 
- Desktop",CC18-1669989,01/14/2022
113,Tempe,AZ,70000,95000,"SQL, Microsoft Office, C#, MVC, .Net 4.0, CSS, ASP.NET, JavaScript, HTML","- SQL - Microsoft Office 
- C# 
- MVC 
- .Net 4.0 
- CSS 
- ASP.NET 
- JavaScript 
- HTML",AH15-1670045,01/14/2022
114,Hartford,CT • New York,100000,130000,"MuleSoft, CI/CD, Oauth, DataWeave, ACM, JavaScript, AWS, Java","- MuleSoft - CI/CD 
- OAUTH 
- DataWeave 
- ACM 
- JavaScript 
- AWS 
- Java",JM10-1671199,01/24/2022
115,Twin Falls,ID • Dallas,100000,130000,"AWS, Python, Redshift, SQL, ATHENA, NoSQL, Data Warehousing","- Apache Spark RDDs and building data frames - AWS Redshift 
- Python 
- SQL 
- Athena 
- Git - Girflow - CI/CD",SL9-1671205,01/24/2022
116,Trenton,NJ,75000,150000,"2D, 3D, QT, Graphics, C++, visualization, OpenGL, .NET, Medical Imaging, WebGL","You should have at least 2+ years of experience and knowledge of: 
- 2D/3D graphics 
- QT Programming 
- OpenGL 
- C++ 
- visualization development 
- OpenGL/WebGL 
- .NET 
 
Nice to have: 
- Medical Imaging experience 
- Human Anatomy knowledge",IH1-1674741,02/14/2022
117,Seattle,WA,110000,150000,"REACT, TypeScript, JavaScript, Cloud, graphql, Rest, Node.js, electron, Serverless Architecture, Linux","- 3+yrs REACT - JavaScript or TypeScript 
- Additional experience in software development/design patterns 
 
It is a plus if you have experience in: 
- Cloud 
- GraphQL 
- Rest 
- Node.js 
- Electron 
- Serverless Architecture 
- Linux and Windows",CH-1649590,02/09/2022
118,Des Moines,IA • Houston,75000,90000,"C#, SQL, Java, Angular, JavaScript","- Bachelor's degree in Computer Science, Computer Engineering, or related field. - 3+ years recent professional software development experience using C# and SQL. 
- Experience with Java, Angular, and/or Azure is preferred, but not required.",BO4-1671158,02/08/2022
119,Boston,MA,100000,120000,"Python, AWS, Kubernetes, Docker, Postgres, Snowflake, Jenkins, Terraform, ETL","- 2+ years of professional experience  - Python 
- AWS 
- Kubernetes 
- Docker 
- Postgres 
- Snowflake 
- Jenkins 
- Terraform 
- ETL",CC18-1655973,10/13/2021
